source_id,radius_gspphot,radius_gspphot_lower,radius_gspphot_upper,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,fem_gspspec,fem_gspspec_lower,fem_gspspec_upper,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,ecl_lon,ecl_lat
555032443207370880,0.1814,0.1812,0.182,2957.8188,2956.611,2958.1973,5.1039,5.1025,5.1044,,,,61.66178755097324,79.2652664645624,13.37053,15.462388,12.034927,13.497,13.4883,13.5091,80.7222231826066,56.74250010683979
2679694971455927296,0.1938,0.1934,0.1941,3026.109,3025.75,3027.6426,5.0863,5.0858,5.087,,,,329.2358923841423,-1.89987246889069,13.014442,14.935205,11.714705,13.4545,13.4421,13.4669,330.6855434455082,9.95854571950243
2683023811628007296,0.6973,0.6842,0.7013,3501.5764,3492.6108,3549.281,4.1172,4.0761,4.2456,,,,330.54080176553964,1.3989923770073878,8.403359,9.387209,7.420015,10.5826,10.5679,10.7052,333.11194039789893,12.589812819416526
3278325004913943808,0.172,0.1705,0.184,3066.297,3065.05,3073.3752,5.1327,5.1083,5.1358,,,,56.83914753816445,8.693515501909106,12.960607,14.802247,11.6751175,12.4793,12.3797,13.302,56.578602299067796,-10.98150748649106
646818024623804416,0.4341,0.4321,0.4438,3174.9656,3172.9043,3185.3132,4.119,4.1131,4.1282,,,,145.97884036380384,26.968552619596394,10.848555,12.285814,9.668579,14.3524,14.2997,14.7745,139.18792505156077,12.575468150605085
628080246633611520,0.1827,0.182,0.1887,3006.4802,3004.7114,3009.8987,4.9496,4.9384,4.9611,,,,148.4782397121578,20.948079178895128,12.36353,14.260421,11.062027,9.5129,9.4838,9.7671,143.44856446038028,7.689169037271265
3689602277083844480,0.7564,0.7385,0.7754,3738.3154,3712.8582,3803.818,4.3852,4.3047,4.4708,,,,192.6813956424772,-0.7698943811117503,7.822748,8.702164,6.896795,10.6501,10.567,10.7124,191.96563441014197,4.300530770595704
3683687763520080384,1.5985,1.5912,1.6062,6740.179,6735.5854,6744.599,4.0977,4.0935,4.1011,,,,190.41242708810614,-1.4490230625523142,3.4332993,3.5128007,2.9142544,12.1133,12.0601,12.1703,190.1388023674771,2.789543105782294
4646616923022587136,0.1843,0.1842,0.1846,2983.0293,2982.6396,2983.298,5.1003,5.0997,5.1006,,,,41.51227837952512,-70.40213295868823,13.122404,15.138994,11.806124,12.7424,12.7377,12.7472,325.7876204575736,-72.3187989277421
3758629475341196672,0.2379,0.2375,0.2381,3035.3247,3034.988,3035.813,5.0181,5.0175,5.0186,,,,164.61574644090516,-10.775511452309788,12.75257,14.647006,11.450015,14.4458,14.4362,14.4555,170.13336527519743,-15.973914631671938
4347870370990204928,0.4947,0.4945,0.4949,3611.5408,3611.2852,3611.7986,4.7502,4.7497,4.7508,,,,239.97333281720185,-8.253319518751894,9.601218,10.726547,8.545803,13.2449,13.2403,13.2488,239.57452837483405,12.070848920317841
4345775217221821312,1.0861,1.0846,1.0878,5678.4277,5676.025,5680.81,4.3571,4.3556,4.3583,-0.13,-0.16,-0.09,243.90633606005997,-8.371641161548801,5.327651,5.6549315,4.8378544,14.1361,14.1208,14.1514,243.5084169264587,12.700122532558519
